symbol,name,mktcap,nmc,turnoverratio
SH600104,上汽集团,21322316.991125,21322316.991125,0.42551
SH600105,永鼎股份,533077.833596,530024.032196,0.7019
SH600106,重庆路桥,334914.315624,334914.315624,0.43679
SH600107,美尔雅,247320,247320,2.57689
SH600108,亚盛集团,626906.668962,626906.668962,1.08758
SH600109,国金证券,3384258.06789,3384258.06789,5.3414
SH600110,诺德股份,563652.92753,563652.92753,4.59252
SH600111,北方稀土,3469578.03,3469578.03,0.60217
SH600112,ST天成,99804.149816,99804.149816,2.64403
SH600113,浙江东日,279361.75764,279361.75764,7.49081
SH600114,东睦股份,623851.971204,617483.495684,4.34436
SH600115,东方航空,7059568.466493,4227457.328942,0.33158
SH600116,三峡水利,1502188.160895,807313.473126,1.05477
SH600117,西宁特钢,339663.4319,339663.4319,3.70283
SH600118,中国卫星,3835994.75394,3835994.75394,1.43665
SH600119,ST长投,242231.2,242231.2,2.36096
SH600120,浙江东方,1492720.37754,1492720.37754,0.97316
SH600121,郑州煤电,250992.879828,250992.879828,4.39513
SH600122,*ST宏图,134357.9686,134357.9686,1.26878
SH600123,兰花科创,572342.4,572342.4,1.38916
SH600125,XD铁龙物,715425.986952,715425.986952,0.81968
SH600126,杭钢股份,3437978.486494,3437978.486494,1.28472
SH600127,金健米业,627022.203986,627022.203986,9.83052
SH600128,弘业股份,164593.9225,164593.9225,1.28895
SH600129,太极集团,746790.487704,729357.92487,0.85431
SH600130,波导股份,303360,303360,2.12943
SH600131,国网信通,2364490.408032,806349.365518,2.34182
SH600132,重庆啤酒,2971583.15572,2971583.15572,1.08825
SH600133,东湖高新,465349.45392,405504.932625,2.63693
SH600135,乐凯胶片,375142.213122,252888.39633,0.75538
SH600136,当代文体,506279.727518,421639.973076,1.49732
SH600137,浪莎股份,150201.17346,150201.17346,1.75554
SH600138,中青旅,716601.6,716601.6,1.35252
SH600139,西部资源,189300.685288,189300.685288,0.91028
SH600141,兴发集团,937535.930667,648705.116637,0.93154
SH600143,金发科技,3525862.60991,3525862.60991,1.11845
SH600145,*ST新亿,278835.77106,278835.77106,0
SH600146,商赢环球,176238.75,176238.75,9.62444
SH600148,长春一东,192886.92135,192886.92135,1.73318
SH600149,ST坊展,187418.88,187418.88,0.32608
SH600150,中国船舶,7548915.159072,2464074.265224,0.44786
SH600151,航天机电,717126.1435,717126.1435,0.96911
SH600152,维科技术,258444.933418,184368.35266,1.36338
SH600153,建发股份,2585702.88336,2585702.88336,0.73907
SH600155,华创阳安,2108342.657376,2108342.657376,1.53502
SH600156,华升股份,166071.719926,166071.719926,1.06187
SH600157,永泰能源,1615353.39238,1615353.39238,0.92944
SH600158,中体产业,703675.301082,548351.156928,1.02096
SH600159,大龙地产,200030.778912,200030.778912,0.59178
SH600160,巨化股份,1808829.87427,1808829.87427,0.68765
SH600161,天坛生物,4630974.95501,4630974.95501,1.22151
SH600162,香江控股,675760.503376,675760.503376,0.56956
SH600163,中闽能源,567605.803968,335820.31728,0.43352
SH600165,新日恒力,326004.6769,326004.6769,2.52317
SH600166,福田汽车,1229560.912789,1229560.912789,0.72659
SH600167,XD联美控,3246841.535025,3246841.535025,0.21477
SH600168,武汉控股,515857.166084,515857.166084,0.6254
SH600169,太原重工,497407.27,497407.27,0.21967
SH600170,上海建工,2769267.693408,2769267.693408,0.2801
SH600171,上海贝岭,1199119.108642,1147494.637419,2.04102
SH600172,黄河旋风,413906.944612,351351.796082,1.08623
SH600173,卧龙地产,325318.865216,324993.137216,0.29002
SH600175,*ST美都,146636.039693,146636.039693,0
SH600176,中国巨石,3302675.358607,3302675.358607,0.84103
SH600177,雅戈尔,2823691.81353,2823691.81353,0.24733
SH600178,东安动力,207936,207936,0.65306
SH600179,*ST安通,700367.539965,317284.172001,1.31256
SH600180,瑞茂通,640380.80232,640380.80232,0.3299
SH600182,S佳通,505580,252790,0
